Rank	Score	Penalty	Country	Name
6445	28	-8005354188	Brazil	G3WS_Sir_Renan
6453	28	-8089414853	Brazil	railtont
6540	28	-9150770562	Brazil	czar_lx
6598	13	-5893099254	Brazil	bfs.07
6666	13	-7717603316	Brazil	Gabriel123Duarte
6700	13	-8373858852	Brazil	Jedian
6755	10	-1856247173	Brazil	Guttsman
6764	10	-2098781854	Brazil	Sinistro
6774	10	-2243283695	Brazil	hal
6777	10	-2288944583	Brazil	naumazeredo
6908	10	-4074783967	Brazil	EduardoC
7109	10	-6095987453	Brazil	iduleba
7203	10	-7231194178	Brazil	marciogadelha
7377	8	-3496242973	Brazil	edusporto
7406	8	-4784736134	Brazil	Teshugo
7415	8	-5151195247	Brazil	gustavo_chermout
7497	8	-7188336791	Brazil	rogerp4ssos
7502	8	-7318909911	Brazil	PabloGustavo
7515	8	-7663008796	Brazil	goudiman
7519	8	-7694616039	Brazil	Xixila
7632	5	-1565329562	Brazil	pedro.913
7662	5	-1733751465	Brazil	FelipeF
7707	5	-1944283296	Brazil	weber09
7775	5	-2267647952	Brazil	steigert
7804	5	-2411740286	Brazil	danielpereira
7815	5	-2462600085	Brazil	lorenzomoulin
7879	5	-2727873687	Brazil	vitorricoy
7909	5	-2885883327	Brazil	bernardoamorim
8051	5	-3557043345	Brazil	MatheusMonteiro
8118	5	-3911853714	Brazil	matheusfabian
8150	5	-4052829776	Brazil	wladimirufc
8162	5	-4135057388	Brazil	andeb
8195	5	-4261379742	Brazil	Franew
8213	5	-4372618669	Brazil	BrPP
8340	5	-4905567709	Brazil	mikaelmello
8349	5	-4937636790	Brazil	snipa
8404	5	-5329257395	Brazil	dytron
8462	5	-5694052798	Brazil	tiagomariinhoo
8468	5	-5750077558	Brazil	gvilardefarias
8525	5	-6159608530	Brazil	mhsantos
8911	3	-2558226993	Brazil	deneribeiro
8937	3	-3486626440	Brazil	Staticdev
9071	3	-7495905403	Brazil	bathroomtiles
9080	3	-7743317243	Brazil	GuilhermeS
9109	3	-8427082888	Brazil	clement1n0t
9110	3	-8467722812	Brazil	gmelosc
9128	0	0	Brazil	Genezio
9128	0	0	Brazil	HenriqueMat
9128	0	0	Brazil	Hoff22
9128	0	0	Brazil	JoaoLucas
9128	0	0	Brazil	João_Lacerda
9128	0	0	Brazil	Leandro_Rocha
9128	0	0	Brazil	LeaoL
9128	0	0	Brazil	Netzach
9128	0	0	Brazil	PedroX345
9128	0	0	Brazil	Ruiber
9128	0	0	Brazil	Shell17
9128	0	0	Brazil	TNicoletti
9128	0	0	Brazil	TQuicks
9128	0	0	Brazil	ViniciusLP
9128	0	0	Brazil	ale_lacerda
9128	0	0	Brazil	alequisk
9128	0	0	Brazil	alexistoigo
9128	0	0	Brazil	aninha
9128	0	0	Brazil	ascaniocc
9128	0	0	Brazil	caianne
9128	0	0	Brazil	e.luna
9128	0	0	Brazil	felipenuti
9128	0	0	Brazil	hugo.cabral
9128	0	0	Brazil	lubelisa
9128	0	0	Brazil	luysa
9128	0	0	Brazil	marcos_hc
9128	0	0	Brazil	micaelomota
9128	0	0	Brazil	mlss
9128	0	0	Brazil	nPr0nn
9128	0	0	Brazil	pablo_aa
9128	0	0	Brazil	preischadt
9128	0	0	Brazil	rlfquatro
9128	0	0	Brazil	suarigata
9128	0	0	Brazil	tutss
9128	0	0	Brazil	weltschildkroete
