Rank	Score	Penalty	Country	Name
2779	68	-40818247726	Japan	wotsushi
2782	68	-41058856855	Japan	tomohiro
2783	68	-41061929009	Japan	hiromi.ayase
2784	68	-41066242670	Japan	peroxyacyl
2801	68	-41994800199	Japan	koikotya
2836	68	-43447877977	Japan	patahene
2860	68	-44605392428	Japan	dismob
2875	68	-45133568270	Japan	Div9851
2882	68	-45349563647	Japan	zer0-star
2886	68	-45545520268	Japan	tkmst201
2889	68	-45807712171	Japan	shion_
2898	68	-45964180839	Japan	rinzu17
2900	68	-45989323578	Japan	rofi
2907	68	-46256582859	Japan	kenimo
2915	68	-46627209853	Japan	tomerun
2943	68	-47536395659	Japan	shimomire
2964	68	-48264984581	Japan	hec
2974	68	-48798043995	Japan	suhirotaka
3055	68	-51369936203	Japan	nkmrtmnr
3059	68	-51475186627	Japan	Ryosuke839
3064	68	-51663476556	Japan	YTA
3078	68	-52269208577	Japan	koyopro
3082	68	-52410567275	Japan	imulan
3112	68	-53092580687	Japan	turuturu
3115	68	-53240065490	Japan	mochimochi
3129	68	-53890462428	Japan	semiexp.
3152	68	-54628236406	Japan	satashun
3187	68	-55766273113	Japan	stan255
3222	68	-56584043156	Japan	Hachimori
3257	68	-57699376498	Japan	mechanicalpenciI
3259	68	-57778851462	Japan	kojingharang
3268	68	-58191392390	Japan	masafumi
3298	68	-59059462638	Japan	minus3theta
3307	68	-59322712897	Japan	sessoh
3321	68	-59589183410	Japan	LowR
3398	68	-62205063969	Japan	ksaw
3441	68	-63351759460	Japan	yaoshimax
3449	68	-63779350177	Japan	cojna
3494	68	-64573277286	Japan	TakaakiUmezu
3518	68	-65078682927	Japan	shirakia
3585	68	-66526022790	Japan	marims
3609	68	-67109289387	Japan	nwin
3664	68	-68422935639	Japan	tute7627
3686	68	-69104088789	Japan	shun0923
3703	68	-69386296429	Japan	kobae964
3709	68	-69469548516	Japan	rokulo
3736	68	-70161041039	Japan	cleantted
3747	68	-70536623740	Japan	tehonbiki
3813	68	-72506209687	Japan	cedretaber
3852	68	-73317249915	Japan	Tallfall
3867	68	-73665747128	Japan	taq225
3883	68	-74009800903	Japan	risujiroh
3930	68	-75072449104	Japan	ttsuki
4145	68	-81093757873	Japan	ttttan2
4193	68	-82339244205	Japan	dusty0
4357	68	-87038731800	Japan	Futafi
4373	68	-87756211500	Japan	RTnF
4393	68	-88479033316	Japan	cafe0latte
4420	68	-89436687852	Japan	ward1302
4510	68	-92923920500	Japan	tkzw_21
4546	68	-94396374015	Japan	kapibara
4548	68	-94437334293	Japan	QCFium
4557	68	-94777891745	Japan	mkawa2
4562	68	-94881769964	Japan	kumalimak
4568	68	-95024250289	Japan	tyu_ru
4590	68	-95756204716	Japan	Moketi
4658	64	-69434487531	Japan	mokazaki923
4682	61	-81738408165	Japan	starline
4695	59	-12685338780	Japan	yuji9511
4701	59	-17305636966	Japan	south37
4705	59	-22311249840	Japan	naoya_t
4711	59	-29573722542	Japan	cherrycherry
4714	59	-30869447746	Japan	sensaur
4719	59	-36663800481	Japan	kagasan
4734	59	-46020944997	Japan	tidota
4741	59	-52010935909	Japan	tetsuro1919
4762	59	-58927208595	Japan	ast210
4774	59	-61802872538	Japan	masas
4787	59	-65172328061	Japan	minetosh
4814	59	-70731092849	Japan	Abesy
4856	59	-79043210564	Japan	knzm
5006	52	-12706797788	Japan	masa-ike
5008	52	-13099312139	Japan	masayoshi64
5011	52	-14362657195	Japan	M.Saito
5027	52	-23514838670	Japan	yuma220284
5030	52	-24178392846	Japan	glucose
5041	52	-27834635195	Japan	jun__
5043	52	-28424914439	Japan	tech_kegani
5047	52	-30825371419	Japan	titia
5053	52	-31762475216	Japan	shindannin
5068	52	-36354256651	Japan	daut
5079	52	-39229987777	Japan	commy
5081	52	-39638614437	Japan	pengin
5090	52	-40988071959	Japan	Sairi
5112	52	-46236576087	Japan	hotpepsi
5116	52	-47241814599	Japan	awata
5117	52	-47383413814	Japan	spihill
5143	52	-50992282064	Japan	dakura
5167	52	-55124801143	Japan	comssa
5180	52	-56450398467	Japan	mickie895
5186	52	-56768360703	Japan	wata
5210	52	-59660419372	Japan	gobi_tk
5218	52	-60103732945	Japan	k_sho1550
5220	52	-60527078738	Japan	qxa
5221	52	-60783457815	Japan	rickytheta
5232	52	-62159585379	Japan	remin
5243	52	-63027680502	Japan	Usamao
5247	52	-63713642403	Japan	leaf1415
5251	52	-63972338542	Japan	kinsei0916
5257	52	-65016568119	Japan	natsuf
5259	52	-65248500288	Japan	nooka
5304	52	-69605340300	Japan	Hato
5352	52	-73789536677	Japan	haru_woodline
5428	52	-82563694386	Japan	wu555
5485	52	-88903550792	Japan	HiroshiTamura
5529	52	-92859270441	Japan	vierbein
5535	52	-93299365569	Japan	Silphire
5557	52	-96177703853	Japan	yuma25689
5586	52	-98514941042	Japan	tttkm
5599	50	-17222155067	Japan	Person20
5625	50	-36602295185	Japan	polyomino.24
5627	50	-39018022818	Japan	fu9103
5629	50	-39388317628	Japan	Nickle
5786	50	-67395180094	Japan	imoni_kawaii
5901	50	-79996076389	Japan	komugi
5993	50	-93278538005	Japan	Eldora
5997	50	-93701406885	Japan	ukar
6072	49	-13619910273	Japan	SCL
6094	49	-18060630882	Japan	sksim
6129	49	-27810928641	Japan	hirokazu1020..
6163	49	-32283097853	Japan	ia7ck
6175	49	-34340739925	Japan	chaemon
6202	49	-37470319750	Japan	hkawaguc
6213	49	-39276082508	Japan	peichan13
6217	49	-39666467475	Japan	tko919
6225	49	-40639179302	Japan	aasako
6246	49	-43129056320	Japan	akachocobo
6250	49	-43683904605	Japan	cake.senbei
6279	49	-46859361411	Japan	yosupot
6412	49	-56681325870	Japan	LinusMK
6460	49	-58602443737	Japan	kou605
6505	49	-60112536188	Japan	yutaki
6512	49	-60341928929	Japan	外人
6558	49	-61828352557	Japan	OPhira
6921	49	-71846585660	Japan	hugeh0ge
7174	49	-79898850959	Japan	noriok
7338	49	-90023975648	Japan	btk
7352	49	-90769966039	Japan	Tomii9273
7516	43	-10543032168	Japan	ninja7
7539	43	-16979029077	Japan	kyon2326
7551	43	-18371096810	Japan	ecto0310
7553	43	-18617922632	Japan	nejineji
7572	43	-21563810526	Japan	kotamanegi
7575	43	-21779158753	Japan	sky58
7586	43	-22958862006	Japan	wakuwinmail
7595	43	-24071402751	Japan	escgreen
7596	43	-24372950290	Japan	kzyKT
7609	43	-26393032454	Japan	yh1224
7611	43	-26947070061	Japan	kichi2004
7619	43	-28136243266	Japan	fp563
7626	43	-28836187283	Japan	togatoga
7633	43	-29535279850	Japan	m-book
7638	43	-30368132328	Japan	micheeeeell
7645	43	-30747645501	Japan	chanori
7659	43	-32223385696	Japan	ohbarye
7666	43	-33474674916	Japan	hasegawa1
7767	43	-43278854648	Japan	Ushi-n
7776	43	-43749707322	Japan	plcherrim
7798	43	-45201080002	Japan	Keroru
7800	43	-45373713463	Japan	temp_name
7850	43	-48907237313	Japan	Yut176
7868	43	-50065908382	Japan	hige
7921	43	-53480308207	Japan	ladicle
7970	43	-55710171827	Japan	chakku_000
7988	43	-56625328370	Japan	HayatoY
8050	43	-59395497257	Japan	tmochizuki
8099	43	-61205485414	Japan	satanic0258
8141	43	-63019328226	Japan	Kyoroid
8154	43	-63464577070	Japan	mymz
8178	43	-64556346261	Japan	よーおは
8215	43	-65956862579	Japan	kekenx
8224	43	-66366187276	Japan	kei2000
8251	43	-67523870368	Japan	t_motooka
8257	43	-67621481292	Japan	marpore5
8285	43	-68646303694	Japan	tgm0417
8491	43	-76841326426	Japan	yosswi414
8541	43	-79447787623	Japan	koujm
8619	43	-82426675270	Japan	pooka
8663	43	-84134363589	Japan	sensu
8762	43	-88274281339	Japan	sfuku7
8848	43	-92235896972	Japan	ueda.keisuke
8878	43	-93721049064	Japan	keimo
8904	43	-95284341379	Japan	Mazesoba
8910	43	-95523264632	Japan	oza.wa
8917	43	-95718422082	Japan	molety
8939	43	-96445436346	Japan	Shuto
8991	43	-97677205665	Japan	jingfang
9000	43	-98372849819	Japan	monyone
9044	42	-1891271914	Japan	physics0523
9045	42	-1908679151	Japan	x20
9060	42	-2169019762	Japan	TMJN
9066	42	-2305454793	Japan	hamayanhamayan
9073	42	-2389307228	Japan	ganariya
9076	42	-2410430156	Japan	pyonth
9140	42	-3247915660	Japan	Sayaka
9147	42	-3316624990	Japan	kanpurin
9165	42	-3507826757	Japan	ugis70194
9182	42	-3708587941	Japan	sangonana
9215	42	-3968871249	Japan	darshimo
9272	42	-4568605604	Japan	kyo1
9299	42	-4763189601	Japan	LuckyHappy0108
9309	42	-4859132134	Japan	takubokudori
9312	42	-4888337286	Japan	Mojumbo
9322	42	-4995064836	Japan	shirochan
9339	42	-5186795660	Japan	taka99
9340	42	-5190352132	Japan	Doo1t
9363	42	-5471719213	Japan	chigichan24
9386	42	-5775545680	Japan	takumi152
9389	42	-5786419631	Japan	season1618
9404	42	-5887710347	Japan	hknk
9406	42	-5896117163	Japan	earlgrey_yh
9409	42	-5938251532	Japan	nogi
9470	42	-6484380096	Japan	prd_xxx
9479	42	-6528135823	Japan	edamat
9496	42	-6756541011	Japan	sylphy
9505	42	-6837685717	Japan	jupiro
9509	42	-6877912558	Japan	ntk_ta01
9566	42	-7439247676	Japan	otera
9573	42	-7547241554	Japan	obakyan
9587	42	-7655919313	Japan	amotoma3
9591	42	-7690578292	Japan	aquaCS
9601	42	-7851315453	Japan	enookckor
9611	42	-8012484034	Japan	bbge
9635	42	-8261986176	Japan	uturyo27182
9645	42	-8362975473	Japan	_uenoku
9648	42	-8386876137	Japan	hartman819
9651	42	-8410717604	Japan	shop_one
9659	42	-8509244181	Japan	Nossi
9678	42	-8750273245	Japan	sortreew
9686	42	-8884021513	Japan	tempura0224
9688	42	-8945075254	Japan	ir_1st_vil
9690	42	-8950361917	Japan	spray_11
9717	42	-9244349082	Japan	niuez
9726	42	-9316949188	Japan	Tsubosaka
9731	42	-9348650324	Japan	maspy
9740	42	-9447144885	Japan	Luzhiled
9755	42	-9632556378	Japan	pytran
9761	42	-9747493755	Japan	kawara_y
9762	42	-9764901744	Japan	tokusakurai
9783	42	-9991927766	Japan	mikanalpha
9799	42	-10118287330	Japan	NOSS
9814	42	-10290153896	Japan	kawap23
9816	42	-10296049060	Japan	ta7uw
9824	42	-10399308756	Japan	kkty
9828	42	-10481087160	Japan	Koutetsu666
9831	42	-10515858577	Japan	TrpFrog
9832	42	-10520548725	Japan	kamojiro
9842	42	-10663564494	Japan	ScoSa
9861	42	-10933118722	Japan	T49E2
9871	42	-11056943124	Japan	nephrologist
9882	42	-11201824600	Japan	T1610
9888	42	-11253064730	Japan	OKCH3COOH
9891	42	-11291505712	Japan	4eta
9901	42	-11478875002	Japan	nu50218
9910	42	-11554847617	Japan	eye.engine
9928	42	-11736185368	Japan	tsuburin
9937	42	-11814279651	Japan	siumai
9949	42	-11920717544	Japan	answeranswer
9953	42	-11964538065	Japan	ibuki2003
9963	42	-12140265747	Japan	Takoshi
9979	42	-12319921438	Japan	itohjam
9986	42	-12427006159	Japan	daigakupotato
10000	42	-12516167787	Japan	mizukurage
10002	42	-12544010839	Japan	mijinko
10005	42	-12596491501	Japan	zelnyok
10009	42	-12631115496	Japan	ChiyosBigDragon
10031	42	-12793566681	Japan	kyomukyomupurin
10036	42	-12833859729	Japan	kei1107
10039	42	-12856181052	Japan	bayashi
10054	42	-13014160255	Japan	addeight
10084	42	-13248819021	Japan	kroton
10087	42	-13290955990	Japan	iwachoco
10089	42	-13302903300	Japan	snow39
10094	42	-13341125189	Japan	hir810
10114	42	-13613702982	Japan	takakin
10133	42	-13762248728	Japan	kakeyamay
10134	42	-13766936016	Japan	rniya
10136	42	-13773483821	Japan	buyoh
10143	42	-13852583133	Japan	toame207341
10160	42	-14033600381	Japan	haruki_K
10171	42	-14133667510	Japan	nadeshino
10202	42	-14436527029	Japan	TAISA_
10204	42	-14443355825	Japan	Mencotton
10214	42	-14518048626	Japan	tmtmt
10216	42	-14521822743	Japan	Ogtsn99
10227	42	-14580992919	Japan	gyouzasushi
10237	42	-14724016618	Japan	tktk_snsn
10238	42	-14737756515	Japan	K2_
10243	42	-14785600912	Japan	keep_OC
10250	42	-14838378942	Japan	sotanishy
10258	42	-14926223618	Japan	haiu
10262	42	-14951195541	Japan	takuk
10267	42	-15026294078	Japan	tarattata
10281	42	-15146148838	Japan	bokken
10287	42	-15226933579	Japan	esupi
10295	42	-15330642758	Japan	pontsuyo
10299	42	-15372889995	Japan	Plan8
10309	42	-15560450923	Japan	m_tsubasa
10316	42	-15619935870	Japan	stoq
10327	42	-15704528973	Japan	ytkn
10328	42	-15713269025	Japan	Hoget157
10332	42	-15764118890	Japan	legosuke
10341	42	-15812504801	Japan	syu-ki
10360	42	-16005349603	Japan	Knk_kei
10367	42	-16052095009	Japan	yosh1
10370	42	-16067406128	Japan	macaroni
10375	42	-16105406101	Japan	nel215
10376	42	-16125943224	Japan	hyttcnkf
10378	42	-16147424492	Japan	Noimin
10385	42	-16201205559	Japan	firiexp
10426	42	-16582281140	Japan	choo.s
10427	42	-16591525809	Japan	matsu7874
10432	42	-16639469208	Japan	shnafl
10439	42	-16700344740	Japan	idsigma
10454	42	-16819848273	Japan	ttkkggww
10482	42	-17051320662	Japan	simamumu
10483	42	-17082722996	Japan	yehara
10495	42	-17237942853	Japan	schwarzahl
10497	42	-17260664504	Japan	AokabiC
10508	42	-17336894449	Japan	masutech16
10512	42	-17367270930	Japan	opt
10519	42	-17448760620	Japan	morimario
10522	42	-17459432838	Japan	bobuhiro11
10541	42	-17666029367	Japan	kawasaki
10543	42	-17688176240	Japan	sumoru
10544	42	-17702562393	Japan	Ueeek
